title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
Blinding Lights,The Weeknd,pop,happy,0.8,171,0.81,0.51,0.0
Sunset Drive,Luna Ray,lofi,chill,0.3,85,0.45,0.55,0.7
Thunderstruck,AC/DC,rock,intense,0.95,133,0.46,0.47,0.01
Midnight Rain,Ava Brooks,ambient,melancholy,0.2,72,0.25,0.3,0.85
Blue Bossa,Stan Getz,jazz,chill,0.4,120,0.6,0.65,0.9
Neon Pulse,Synthkid,synthwave,happy,0.75,128,0.7,0.8,0.05
Paper Hearts,Mia Lane,indie pop,melancholy,0.35,100,0.3,0.4,0.6
Wildfire,Kira Blaze,edm,intense,0.9,140,0.65,0.85,0.02
Morning Light,Sage & Sound,folk,happy,0.45,108,0.75,0.5,0.88
Falling Apart,Jake Holloway,r&b,melancholy,0.5,90,0.35,0.6,0.3
Rage Mode,Skull Krew,rock,aggressive,0.98,160,0.2,0.35,0.01
Electric Love,Zara Moon,pop,romantic,0.6,115,0.78,0.7,0.15
Still Waters,Echo Drift,ambient,chill,0.15,65,0.3,0.2,0.92
Late Night Drive,Neon Dusk,synthwave,chill,0.5,95,0.55,0.6,0.1
Firecracker,Boom Collective,hip-hop,happy,0.85,130,0.8,0.9,0.03
Requiem,Clara Voss,classical,melancholy,0.25,70,0.15,0.1,0.95
Sahara Wind,Amara Diallo,world,chill,0.4,98,0.5,0.55,0.75
Golden Hour,Indie Sunrise,indie rock,happy,0.55,112,0.7,0.55,0.45
Adrenaline,Bass Fury,edm,intense,0.92,150,0.6,0.88,0.01
Warm December,Holly Reed,folk,romantic,0.35,96,0.65,0.45,0.82
Ocean Waves,Drift Collective,ambient,chill,0.1,60,0.35,0.15,0.95
Club Lights,DJ Voltage,edm,happy,0.88,138,0.75,0.92,0.02
Lonely Road,Marcus Gray,indie rock,melancholy,0.4,105,0.28,0.35,0.55
Smooth Operator,Velvet Jazz,jazz,romantic,0.35,88,0.6,0.58,0.85
Power Surge,Iron Pulse,rock,intense,0.93,155,0.4,0.42,0.02
Daydream,Pastel Skies,lofi,chill,0.25,80,0.5,0.48,0.72
Cherry Blossom,Yuki Tanaka,world,happy,0.5,110,0.72,0.6,0.65
Broken Glass,The Remnants,rock,aggressive,0.96,168,0.18,0.38,0.03
Café Morning,Acoustic Blend,folk,chill,0.3,92,0.62,0.42,0.9
Starlight,Nova Dreams,pop,romantic,0.55,104,0.74,0.62,0.2
